YEAR_MONTH,BNF_CHEMICAL_SUBSTANCE_CODE,BNF_CHEMICAL_SUBSTANCE,PREP_CLASS,PRESCRIBED_PREP_CLASS,ITEMS,NIC
202602,0601011L0,Insulin Lispro,02,02,231.0,12977.07
202602,0601011L0,Insulin Lispro,03,02,61.0,3610.95
202602,0601011L0,Insulin Lispro,03,03,37963.0,1844350.79
202602,0601011N0,Soluble insulin (Neutral insulin),03,02,1.0,62.72
202602,0601011N0,Soluble insulin (Neutral insulin),03,03,1618.0,60514.81
202602,0601011P0,Insulin glulisine,03,02,39.0,2101.48
202602,0601011P0,Insulin glulisine,03,03,5778.0,228169.08
202602,0601011R0,Insulin human,03,03,13.0,15762.71
202602,0601012AB,Insulin glargine/lixisenatide,03,02,1.0,48.6
202602,0601012D0,Biphasic isophane insulin,03,02,3.0,105.66
202602,0601012D0,Biphasic isophane insulin,03,03,50817.0,1692611.9
202602,0601012F0,Biphasic insulin lispro,03,02,1.0,12.39
202602,0601012F0,Biphasic insulin lispro,03,03,15925.0,909619.98
202602,0601012S0,Isophane insulin,03,02,16.0,1131.3200000000002
202602,0601012S0,Isophane insulin,03,03,53474.0,1384159.94
202602,0601012V0,Insulin glargine,03,02,1674.0,76741.63
202602,0601012V0,Insulin glargine,03,03,163366.0,7196464.33
202602,0601012W0,Biphasic insulin aspart,03,02,2.0,119.56
202602,0601012W0,Biphasic insulin aspart,03,03,46014.0,2180563.1
202602,0601012X0,Insulin detemir,03,02,393.0,26006.4
202602,0601012X0,Insulin detemir,03,03,23808.0,1341849.75
202602,0601012Z0,Insulin degludec,03,02,544.0,42191.64
202602,0601012Z0,Insulin degludec,03,03,56066.0,3310119.16
202602,0601021A0,Glimepiride,01,01,31199.0,34741.32
202602,0601021A0,Glimepiride,05,05,18.0,55.94
202602,0601021H0,Glibenclamide,05,05,2.0,1885.88
202602,0601021M0,Gliclazide,01,01,447058.0,834856.38
202602,0601021M0,Gliclazide,03,03,547.0,4094.62
202602,0601021M0,Gliclazide,05,05,388.0,2806.68
202602,0601021P0,Glipizide,01,01,545.0,1547.1
202602,0601021P0,Glipizide,03,03,10.0,45.36
202602,0601021X0,Tolbutamide,01,01,124.0,23406.0
202602,0601022B0,Metformin hydrochloride,01,01,1999329.0,4112135.39
202602,0601022B0,Metformin hydrochloride,03,01,12.0,67.83
202602,0601022B0,Metformin hydrochloride,03,02,555.0,3081.36
202602,0601022B0,Metformin hydrochloride,03,03,132456.0,683145.88
202602,0601022B0,Metformin hydrochloride,05,01,4.0,279.9
