YEAR_MONTH,BNF_CHAPTER_CODE,BNF_CHAPTER,ITEMS,TOTAL_QUANTITY,NIC
202203,7,"Obstetrics, Gynaecology and Urinary-Tract Disorders",2787754.0,118373953.0,21270361.8
202203,8,Malignant Disease and Immunosuppression,395674.0,16207143.0,14073925.78
202203,9,Nutrition and Blood,5592881.0,2845066296.9,66285415.86
202204,1,Gastro-Intestinal System,8787505.0,680065463.0,49939880.29
202204,10,Musculoskeletal and Joint Diseases,2480892.0,163012856.0,11234692.77
202204,11,Eye,1308720.0,21813509.5,12507767.42
202204,12,"Ear, Nose and Oropharynx",897851.0,20675707.7,6078053.33
202204,13,Skin,2124520.0,383240463.41,20823000.700000003
202204,14,Immunological Products and Vaccines,152996.0,153455.0,1857279.92
202204,15,Anaesthesia,126476.0,10104888.0,1787761.1
202204,18,Preparations used in Diagnosis,10.0,7600.0,1330.0
202204,19,Other Drugs and Preparations,76891.0,46036037.0,1942751.6
202204,2,Cardiovascular System,27729773.0,979009864.0,130746194.64
202204,20,Dressings,442626.0,11826204.2,12817417.66
202204,21,Appliances,2743589.0,514220440.5,46098109.150000006
202204,22,Incontinence Appliances,188384.0,3546287.0,4764730.16
202204,23,Stoma Appliances,550029.0,51354079.2,29864586.0
202204,3,Respiratory System,6071014.0,126556107.0,87875291.23
202204,4,Central Nervous System,18446399.0,1277963137.4,117155656.81
202204,5,Infections,3131329.0,119022987.5,14915013.04
202204,6,Endocrine System,10047589.0,493458030.5,132689004.56
202204,7,"Obstetrics, Gynaecology and Urinary-Tract Disorders",2598126.0,109820013.0,19845052.9
202204,8,Malignant Disease and Immunosuppression,372399.0,15171260.0,13452365.829999998
202204,9,Nutrition and Blood,5218003.0,2638029051.0,60928221.79000001
202205,1,Gastro-Intestinal System,9219664.0,706132745.0,52920668.34
202205,10,Musculoskeletal and Joint Diseases,2623781.0,172308588.0,11942017.55
202205,11,Eye,1372058.0,23235855.0,13561234.82
202205,12,"Ear, Nose and Oropharynx",967001.0,22415777.5,6522656.33
202205,13,Skin,2242616.0,401038184.0,21972681.07
202205,14,Immunological Products and Vaccines,134178.0,136273.0,1754982.59
202205,15,Anaesthesia,140227.0,2037209.5,1869575.38
202205,18,Preparations used in Diagnosis,7.0,4200.0,735.0
202205,19,Other Drugs and Preparations,86604.0,51162223.0,2143550.06
202205,2,Cardiovascular System,28921755.0,1024596718.0,137191052.13
202205,20,Dressings,476619.0,12845872.7,14091206.900000002
202205,21,Appliances,2896137.0,533699442.5,50512255.94
202205,22,Incontinence Appliances,204251.0,3865192.0,5204877.21
202205,23,Stoma Appliances,595500.0,55365828.4,33242210.03
202205,3,Respiratory System,6423003.0,137954320.0,92384509.69
202205,4,Central Nervous System,19177368.0,1327699121.4,123199227.64
202205,5,Infections,3239263.0,128886553.0,15896401.84
202205,6,Endocrine System,10554770.0,519056719.5,140829740.5
202205,7,"Obstetrics, Gynaecology and Urinary-Tract Disorders",2759869.0,117783629.0,21577537.89
202205,8,Malignant Disease and Immunosuppression,388942.0,15879291.0,13881459.89
202205,9,Nutrition and Blood,5472343.0,2751584682.5,63898937.1
202206,1,Gastro-Intestinal System,8971827.0,693168286.0,53169599.45999999
202206,10,Musculoskeletal and Joint Diseases,2545624.0,167547003.0,11503942.02
202206,11,Eye,1298142.0,22016414.0,13526158.39
202206,12,"Ear, Nose and Oropharynx",983934.0,21879436.0,6601106.25
202206,13,Skin,2185252.0,389495276.41,21460484.69
202206,14,Immunological Products and Vaccines,131053.0,133046.0,1748155.0
202206,15,Anaesthesia,132413.0,1957116.5,1829710.12
202206,18,Preparations used in Diagnosis,2.0,3000.0,525.0
202206,19,Other Drugs and Preparations,80449.0,48837439.0,1976263.13
202206,2,Cardiovascular System,28093202.0,993982939.0,133447042.31
202206,20,Dressings,490880.0,12815109.9,14249318.62
202206,21,Appliances,2865749.0,523285643.5,50137223.88
202206,22,Incontinence Appliances,202488.0,3818703.0,5153043.17
202206,23,Stoma Appliances,568406.0,53120925.0,31312346.8
202206,3,Respiratory System,6455554.0,143706742.0,92888370.32
202206,4,Central Nervous System,18717956.0,1295440968.9,121205000.04
202206,5,Infections,3172995.0,127113269.5,15764457.95
202206,6,Endocrine System,10272555.0,504816442.0,139272410.22
202206,7,"Obstetrics, Gynaecology and Urinary-Tract Disorders",2674485.0,113726434.5,20883945.98
202206,8,Malignant Disease and Immunosuppression,375760.0,15248396.0,13653616.77
202206,9,Nutrition and Blood,5317374.0,2717546445.5,62586797.64
202207,1,Gastro-Intestinal System,8940238.0,689527191.0,53562479.89
202207,10,Musculoskeletal and Joint Diseases,2526067.0,166105207.0,11168325.12
202207,11,Eye,1250636.0,21612863.0,13161425.58
202207,12,"Ear, Nose and Oropharynx",961274.0,21310924.6,6513326.75
202207,13,Skin,2147687.0,382229133.41,21116115.1
202207,14,Immunological Products and Vaccines,163399.0,164446.0,2157093.02
202207,15,Anaesthesia,133729.0,10378776.0,1836743.93
202207,18,Preparations used in Diagnosis,8.0,4700.0,822.5
202207,19,Other Drugs and Preparations,98577.0,50191851.0,2130552.71
202207,2,Cardiovascular System,28102803.0,996168961.0,134023890.66
202207,20,Dressings,476850.0,12517386.3,13790935.15
202207,21,Appliances,2879697.0,512030840.5,51368645.3
202207,22,Incontinence Appliances,203890.0,3838872.0,5198723.17
202207,23,Stoma Appliances,583886.0,54166286.8,32546318.270000003
202207,3,Respiratory System,6330349.0,136470768.0,93080299.6
202207,4,Central Nervous System,18562857.0,1284982524.6,127713129.5
202207,5,Infections,3222446.0,132122949.0,17063223.33
202207,6,Endocrine System,10335650.0,511164503.0,144678791.47
202207,7,"Obstetrics, Gynaecology and Urinary-Tract Disorders",2674202.0,114165340.0,20677197.99
